"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.osmdroid.google.sample","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/GoogleWrapperSample/src/main/java/org/osmdroid/google/sample/Googlev1WrapperSample.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.google.sample","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/GoogleWrapperSample/src/main/java/org/osmdroid/google/sample/Googlev2WrapperSample.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.mtp","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OSMMapTilePackager/src/main/java/org/osmdroid/mtp/OSMMapTilePackager.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.osmdroid.mtp","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OSMMapTilePackager/src/main/java/org/osmdroid/mtp/OSMMapTilePackager.java","3","33","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.osmdroid.mtp","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OSMMapTilePackager/src/main/java/org/osmdroid/mtp/OSMMapTilePackager.java","3","166","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","org.osmdroid.mtp","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OSMMapTilePackager/src/main/java/org/osmdroid/mtp/OSMMapTilePackager.java","3","184","Avoid long parameter lists.","Design","ExcessiveParameterList"
"5","org.osmdroid.mtp","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OSMMapTilePackager/src/main/java/org/osmdroid/mtp/OSMMapTilePackager.java","3","299","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.osmdroid.mtp.ui","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OSMMapTilePackager/src/main/java/org/osmdroid/mtp/ui/OSMMapTilePackagerUI.java","3","83","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/PreferenceActivity.java","3","166","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/StarterMapFragment.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.bugtestfragments","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/bugtestfragments/WeathForceActivity.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.debug.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/debug/util/HumanTime.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.osmdroid.debug.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/debug/util/HumanTime.java","3","541","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.diag","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/diag/DiagnosticsActivity.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/BaseSampleFragment.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/SampleFactory.java","3","127","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.cache","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/cache/SampleCacheDelete.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments.cache","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/cache/SampleCacheDownloader.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments.cache","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/cache/SampleCacheDownloaderArchive.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments.cache","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/cache/SampleCacheDownloaderCustomUI.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments.data","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/data/SampleMilestonesNonRepetitive.java","3","61","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.data","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/data/SampleOsmPath.java","3","67","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.drawing","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/drawing/CustomPaintingSurface.java","3","110","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.geopackage","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/geopackage/GeopackageFeatures.java","3","121","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.layers","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/layers/LayerManager.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.layouts.list","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/layouts/list/MyStreetAddressRecyclerViewAdapter.java","3","54","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.osmdroid.samplefragments.layouts.rec","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/layouts/rec/Info.java","3","16","The class 'Info' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=6, WMC=7)","Design","DataClass"
"1","org.osmdroid.samplefragments.location","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/location/SampleHeadingCompassUp.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments.milstd2525","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/milstd2525/MilStdMultipointOverlay.java","3","54","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.milstd2525","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/milstd2525/ModifierPicker.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.osmdroid.samplefragments.milstd2525","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/milstd2525/ModifierPicker.java","3","221","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.osmdroid.samplefragments.milstd2525","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/milstd2525/ModifierPicker.java","3","443","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.samplefragments.milstd2525","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/milstd2525/Plotter.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.samplefragments.milstd2525","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/milstd2525/SimpleSymbol.java","3","22","The class 'SimpleSymbol' is suspected to be a Data Class (WOC=7.407%, NOPA=0, NOAM=25, WMC=27)","Design","DataClass"
"1","org.osmdroid.samplefragments.tileproviders","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/OpenStreetMapViewer/src/main/java/org/osmdroid/samplefragments/tileproviders/OfflinePickerSample.java","3","143","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.api","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/api/IMapController.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.tileprovider","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/MapTileProviderBase.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.tileprovider.cachemanager","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/cachemanager/CacheManager.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.tileprovider.modules","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/modules/SqlTileWriter.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.osmdroid.tileprovider.modules","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/modules/SqlTileWriter.java","3","251","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.tileprovider.modules","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/modules/TileDownloader.java","3","44","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.tileprovider.tilesource","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/tilesource/HEREWeGoTileSource.java","3","14","The class 'HEREWeGoTileSource' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=7, WMC=18)","Design","DataClass"
"1","org.osmdroid.tileprovider.tilesource","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/tilesource/MapBoxTileSource.java","3","13","The class 'MapBoxTileSource' is suspected to be a Data Class (WOC=18.182%, NOPA=0, NOAM=4, WMC=11)","Design","DataClass"
"1","org.osmdroid.tileprovider.tilesource","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/tilesource/MapQuestTileSource.java","3","13","The class 'MapQuestTileSource' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=12)","Design","DataClass"
"1","org.osmdroid.tileprovider.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/util/StorageUtils.java","3","41","The class 'StorageInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=2, WMC=9)","Design","DataClass"
"2","org.osmdroid.tileprovider.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/util/StorageUtils.java","3","100","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.osmdroid.tileprovider.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/util/StorageUtils.java","3","350","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.osmdroid.tileprovider.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/tileprovider/util/StorageUtils.java","3","483","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/BoundingBox.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/GEMFFile.java","3","111","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/GEMFFile.java","3","559","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/GeoPoint.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/RectL.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/SegmentIntersection.java","3","85","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/TileLooper.java","3","8","The class 'TileLooper' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=4, WMC=17)","Design","DataClass"
"1","org.osmdroid.util","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/util/TileSystem.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.views","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/MapController.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.views","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/MapView.java","3","63","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.osmdroid.views","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/MapView.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.osmdroid.views","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/MapView.java","3","1599","The class 'LayoutParams' is suspected to be a Data Class (WOC=0.000%, NOPA=13, NOAM=0, WMC=4)","Design","DataClass"
"1","org.osmdroid.views","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/Projection.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.views.overlay","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/overlay/DefaultOverlayManager.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.views.overlay","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/overlay/ItemizedIconOverlay.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.views.overlay","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/overlay/ItemizedOverlay.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.osmdroid.views.overlay","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/overlay/ItemizedOverlayWithFocus.java","3","231","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.osmdroid.views.overlay","/home/matheus/smell-and-machine-learning/repositories/osmdroid_osmdroid/osmdroid-android/src/main/java/org/osmdroid/views/overlay/Marker.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
