"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.code.appsorganizer","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/LabelListActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.code.appsorganizer","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/MyBackupPro.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.code.appsorganizer","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/SplashScreenActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.code.appsorganizer.db","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/db/AppCacheDao.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.code.appsorganizer.db","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/db/DatabaseHelperBasic.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.code.appsorganizer.db","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/db/DbDao.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.code.appsorganizer.db","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/db/DbImportExport.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.code.appsorganizer.dialogs","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/dialogs/ProgressDialogCreator.java","3","28","The class 'ProgressDialogCreator' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","com.google.code.appsorganizer.dialogs","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/dialogs/SimpleDialog.java","3","31","The class 'SimpleDialog' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=20)","Design","DataClass"
"1","com.google.code.appsorganizer.dialogs","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/dialogs/TextEntryDialog.java","3","32","The class 'TextEntryDialog' is suspected to be a Data Class (WOC=8.333%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"1","com.google.code.appsorganizer.model","/home/matheus/smell-and-machine-learning/repositories/appsorganizer/AppsOrganizer/src/com/google/code/appsorganizer/model/AppCache.java","3","23","The class 'AppCache' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
