"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.gsantner.markor.activity","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/activity/DocumentActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.markor.activity","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/activity/DocumentEditFragment.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.markor.activity","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/activity/MainActivity.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.markor.activity","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/activity/SettingsActivity.java","3","219","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.gsantner.markor.format","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/TextFormat.java","3","28","The class 'TextFormat' is suspected to be a Data Class (WOC=11.111%, NOPA=4, NOAM=6, WMC=12)","Design","DataClass"
"1","net.gsantner.markor.format.general","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/general/BackgroundParagraphSpan.java","3","21","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","net.gsantner.markor.format.general","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/general/BackgroundParagraphSpan.java","3","30","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","net.gsantner.markor.format.general","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/general/CommonTextActions.java","3","71","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.gsantner.markor.format.general","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/general/DatetimeFormatDialog.java","3","52","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.gsantner.markor.format.general","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/general/FilledBackgroundParagraphSpan.java","3","29","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","net.gsantner.markor.format.general","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/general/HorizontalLineBackgroundParagraphSpan.java","3","37","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","net.gsantner.markor.format.markdown","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/markdown/MarkdownTextActions.java","3","339","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.gsantner.markor.format.todotxt","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/format/todotxt/TodoTxtTextActions.java","3","98","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.gsantner.markor.model","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/model/Document.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.markor.ui","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/ui/SearchOrCustomTextDialogCreator.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.markor.ui.hleditor","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/markor/ui/hleditor/Highlighter.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.format.todotxt","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/opoc/format/todotxt/SttCommander.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.gsantner.opoc.preference","/home/matheus/smell-and-machine-learning/repositories/gsantner_markor/app/src/main/java/net/gsantner/opoc/preference/FontPreferenceCompat.java","3","42","The class 'FontPreferenceCompat' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=13)","Design","DataClass"
